record_id,major,degree,school,school_year,female_new_enrollment,female_total_graduated
4994,Computer Science,Bachelor's,110,2015-2016,,
4590,Electrical and Computer Engineering,Bachelor's,110,2009-2010,28,11
4591,Electrical and Computer Engineering,Bachelor's,110,2010-2011,34,13
4592,Electrical and Computer Engineering,Bachelor's,110,2011-2012,46,12
4593,Electrical and Computer Engineering,Bachelor's,110,2012-2013,49,13
4594,Electrical and Computer Engineering,Bachelor's,110,2013-2014,44,21
4595,Electrical and Computer Engineering,Bachelor's,110,2014-2015,8,23
4882,Electrical and Computer Engineering,Bachelor's,110,2015-2016,8,28
4975,Electrical Engineering,Bachelor's,110,2006-2007,,
4976,Electrical Engineering,Bachelor's,110,2007-2008,,
4977,Electrical Engineering,Bachelor's,110,2008-2009,,
4978,Electrical Engineering,Bachelor's,110,2009-2010,,
4979,Electrical Engineering,Bachelor's,110,2010-2011,,
4980,Electrical Engineering,Bachelor's,110,2011-2012,,
4981,Electrical Engineering,Bachelor's,110,2012-2013,,
4982,Electrical Engineering,Bachelor's,110,2013-2014,,
4983,Electrical Engineering,Bachelor's,110,2014-2015,,
4984,Electrical Engineering,Bachelor's,110,2015-2016,,
4577,Mechanical Engineering,Bachelor's,110,2009-2010,47,22
4578,Mechanical Engineering,Bachelor's,110,2010-2011,43,26
4579,Mechanical Engineering,Bachelor's,110,2011-2012,42,25
4580,Mechanical Engineering,Bachelor's,110,2012-2013,43,33
4581,Mechanical Engineering,Bachelor's,110,2013-2014,46,28
4582,Mechanical Engineering,Bachelor's,110,2014-2015,2,40
4884,Mechanical Engineering,Bachelor's,110,2015-2016,1,28
4949,Mechanical Engineering,Associate's,110,2006-2007,,
4950,Mechanical Engineering,Bachelor's,110,2007-2008,,
4951,Mechanical Engineering,Bachelor's,110,2008-2009,,
4995,Manufacturing Engineering ,Bachelor's,110,2015-2016,,
4584,Engineering Technology,Bachelor's,110,2009-2010,21,38
4585,Engineering Technology,Bachelor's,110,2010-2011,7,50
4586,Engineering Technology,Bachelor's,110,2011-2012,10,36
4587,Engineering Technology,Bachelor's,110,2012-2013,14,25
4588,Engineering Technology,Bachelor's,110,2013-2014,13,27
4589,Engineering Technology,Bachelor's,110,2014-2015,3,36
4883,Engineering Technology,Bachelor's,110,2015-2016,9,32
4962,Engineering Technology,Bachelor's,110,2013-2014,,
4963,Engineering Technology,Bachelor's,110,2014-2015,,
4964,Engineering Technology,Bachelor's,110,2015-2016,,
4965,Engineering Technology,Bachelor's,110,2006-2007,,
4966,Engineering Technology,Bachelor's,110,2007-2008,,
4967,Engineering Technology,Bachelor's,110,2008-2009,,
4968,Engineering Technology,Bachelor's,110,2009-2010,,
4969,Engineering Technology,Bachelor's,110,2010-2011,,
4970,Engineering Technology,Bachelor's,110,2011-2012,,
4971,Engineering Technology,Bachelor's,110,2012-2013,,
4972,Engineering Technology,Bachelor's,110,2013-2014,,
4973,Engineering Technology,Bachelor's,110,2014-2015,,
4974,Engineering Technology,Bachelor's,110,2015-2016,,
4952,Industrial Distribution,Bachelor's,110,2006-2007,,
4953,Industrial Distribution,Bachelor's,110,2007-2008,,
4954,Industrial Distribution,Bachelor's,110,2008-2009,,
4955,Industrial Distribution,Bachelor's,110,2009-2010,,
4956,Industrial Distribution,Bachelor's,110,2010-2011,,
4957,Industrial Distribution,Bachelor's,110,2011-2012,,
4958,Industrial Distribution,Bachelor's,110,2012-2013,,
4959,Industrial Distribution,Bachelor's,110,2013-2014,,
4960,Industrial Distribution,Bachelor's,110,2014-2015,,
4961,Industrial Distribution,Bachelor's,110,2015-2016,,
3366,Management Information Systems,Bachelor's,110,2004-2005,,
3367,Management Information Systems,Bachelor's,110,2005-2006,,
3368,Management Information Systems,Bachelor's,110,2006-2007,,
3369,Management Information Systems,Bachelor's,110,2007-2008,,
3370,Management Information Systems,Bachelor's,110,2008-2009,,
3371,Management Information Systems,Bachelor's,110,2009-2010,,
3372,Management Information Systems,Bachelor's,110,2010-2011,,
3373,Management Information Systems,Bachelor's,110,2011-2012,,
4317,Management Information Systems,Bachelor's,110,2015-2016,,
4946,Management Information Systems,Bachelor's,110,2012-2013,,
4947,Management Information Systems,Bachelor's,110,2013-2014,,
4948,Management Information Systems,Bachelor's,110,2014-2015,,
2305,Computer Science + X,Bachelor's,112,2004-2005,,
2306,Computer Science + X,Bachelor's,112,2005-2006,,
2307,Computer Science + X,Bachelor's,112,2006-2007,,
2308,Computer Science + X,Bachelor's,112,2007-2008,,
2309,Computer Science + X,Bachelor's,112,2008-2009,,
2310,Computer Science + X,Bachelor's,112,2009-2010,,
2311,Computer Science + X,Bachelor's,112,2010-2011,,
2312,Computer Science + X,Bachelor's,112,2011-2012,11,5
5266,Computer Science + X,Bachelor's,112,2012-2013,14,4
5267,Computer Science + X,Bachelor's,112,2013-2014,30,12
5268,Computer Science + X,Bachelor's,112,2014-2015,39,11
5269,Computer Science + X,Bachelor's,112,2015-2016,45,14
1287,Bioinformatics,Bachelor's,114,2008-2009,2,3
1301,Mathematics and Computer Science,Bachelor's,114,2008-2009,2,0
1288,Bioinformatics,Bachelor's,114,2009-2010,4,3
1293,Computer Science,Bachelor's,114,2008-2009,1,0
2814,Software Development,Bachelor's,114,2006-2007,,
1294,Information Technology,Bachelor's,114,2006-2007,1,0
1295,Information Technology,Bachelor's,114,2007-2008,1,0
1296,Information Technology,Bachelor's,114,2008-2009,1,0
2793,Information,Bachelor's,114,2005-2006,,
2797,Information,Bachelor's,114,2009-2010,,
2798,Information,Bachelor's,114,2010-2011,,
2799,Information,Bachelor's,114,2011-2012,,
1300,Mathematics and Computer Science,Bachelor's,114,2007-2008,1,0
2805,Mathematics and Computer Science,Bachelor's,114,2009-2010,,
2806,Mathematics and Computer Science,Bachelor's,114,2010-2011,,
2807,Mathematics and Computer Science,Bachelor's,114,2011-2012,,
2808,Computer Science &,Bachelor's,114,2004-2005,,
2809,Computer Science &,Bachelor's,114,2007-2008,,
2810,Computer Science &,Bachelor's,114,2008-2009,,
2811,Computer Science &,Bachelor's,114,2009-2010,,
2812,Computer Science &,Bachelor's,114,2010-2011,,
2813,Computer Science &,Bachelor's,114,2011-2012,,
1289,Computer Science,Bachelor's,114,2004-2005,4,3
1290,Computer Science,Bachelor's,114,2005-2006,3,0
1291,Computer Science,Bachelor's,114,2006-2007,1,3
1292,Computer Science,Bachelor's,114,2007-2008,4,1
1297,Computer Science,Bachelor's,114,2004-2005,,2
1298,Computer Science,Bachelor's,114,2005-2006,2,0
1299,Computer Science,Bachelor's,114,2006-2007,3,0
2790,Computer Science,Bachelor's,114,2009-2010,,
2791,Computer Science,Bachelor's,114,2010-2011,,
2792,Computer Science,Bachelor's,114,2011-2012,,
2778,Information Assurance/Cybersecurity,Bachelor's,114,2005-2006,,
2779,Information Assurance/Cybersecurity,Bachelor's,114,2006-2007,,
2780,Information Assurance/Cybersecurity,Bachelor's,114,2007-2008,,
2781,Information Assurance/Cybersecurity,Bachelor's,114,2008-2009,,
2782,Information Assurance/Cybersecurity,Bachelor's,114,2009-2010,,
2783,Information Assurance/Cybersecurity,Bachelor's,114,2010-2011,,
2784,Information Assurance/Cybersecurity,Bachelor's,114,2011-2012,,
2815,Software Development,Bachelor's,114,2007-2008,,
2816,Software Development,Bachelor's,114,2008-2009,,
2817,Software Development,Bachelor's,114,2009-2010,,
2818,Software Development,Bachelor's,114,2010-2011,,
2819,Software Development,Bachelor's,114,2011-2012,,
1285,Bioinformatics,Bachelor's,114,2006-2007,2,0
1286,Bioinformatics,Bachelor's,114,2007-2008,2,0
2776,Bioinformatics,Bachelor's,114,2010-2011,,
2777,Bioinformatics,Bachelor's,114,2011-2012,,
4217,Computer Science,Bachelor's,115,2014-2015,27,
4212,Aerospace Engineering,Bachelor's,115,2014-2015,17,
4216,Computer Science,Bachelor's,115,2013-2014,11,
4220,Computer Engineering,Bachelor's,115,2012-2013,8,
4210,Aerospace Engineering,Bachelor's,115,2012-2013,12,
4211,Aerospace Engineering,Bachelor's,115,2013-2014,9,
4208,Aerospace Engineering,Bachelor's,115,2010-2011,15,
4214,Computer Science,Bachelor's,115,2011-2012,7,
4209,Aerospace Engineering,Bachelor's,115,2011-2012,7,
4219,Computer Engineering,Bachelor's,115,2011-2012,9,
4221,Computer Engineering,Bachelor's,115,2013-2014,7,
4218,Computer Engineering,Bachelor's,115,2010-2011,5,
4215,Computer Science,Bachelor's,115,2012-2013,13,
4213,Computer Science,Bachelor's,115,2010-2011,17,
4222,Computer Engineering,Bachelor's,115,2014-2015,2,
5081,Computer Science,Bachelor's,115,2015-2016,,
5080,Computer Engineering,Bachelor's,115,2015-2016,,
4762,Computer Science,Bachelor's,116,2015-2016,,
4763,Management Information Systems,Bachelor's,116,2015-2016,,
1979,Information Technology,Bachelor's,117,2013-2014,3,
2030,Information Technology,Bachelor's,117,2014-2015,4,
4767,Informatics,Bachelor's,117,2014-2015,,0
1952,Computer Science,Bachelor's,117,2007-2008,14,6
1953,Computer Science,Bachelor's,117,2008-2009,11,5
1954,Computer Science,Bachelor's,117,2009-2010,19,4
1955,Computer Science,Bachelor's,117,2010-2011,17,5
1956,Computer Science,Bachelor's,117,2011-2012,15,8
1957,Computer Science,Bachelor's,117,2012-2013,43,13
1958,Computer Science,Bachelor's,117,2013-2014,40,9
2036,Computer Science,Bachelor's,117,2014-2015,68,24
1966,Software Engineering,Bachelor's,117,2011-2012,4,
1967,Software Engineering,Bachelor's,117,2012-2013,5,
1968,Software Engineering,Bachelor's,117,2013-2014,7,
2029,Software Engineering,Bachelor's,117,2014-2015,7,3
1971,Electrical Engineering,Bachelor's,117,2007-2008,11,14
1972,Electrical Engineering,Bachelor's,117,2008-2009,19,13
1973,Electrical Engineering,Bachelor's,117,2009-2010,17,10
1974,Electrical Engineering,Bachelor's,117,2010-2011,37,15
1975,Electrical Engineering,Bachelor's,117,2011-2012,30,10
1976,Electrical Engineering,Bachelor's,117,2012-2013,34,7
1977,Electrical Engineering,Bachelor's,117,2013-2014,24,16
2033,Electrical Engineering,Bachelor's,117,2014-2015,27,
1959,Computer Systems Engineering,Bachelor's,117,2007-2008,11,3
1960,Computer Systems Engineering,Bachelor's,117,2008-2009,5,5
1961,Computer Systems Engineering,Bachelor's,117,2009-2010,9,9
1962,Computer Systems Engineering,Bachelor's,117,2010-2011,13,5
1963,Computer Systems Engineering,Bachelor's,117,2011-2012,12,4
1964,Computer Systems Engineering,Bachelor's,117,2012-2013,10,2
1965,Computer Systems Engineering,Bachelor's,117,2013-2014,11,3
2032,Computer Systems Engineering,Bachelor's,117,2014-2015,12,7
4808,Management Information Systems,Bachelor's,120,2013-2014,8,16
4809,Management Information Systems,Bachelor's,120,2014-2015,9,10
4805,Management Information Systems,Bachelor's,120,2011-2012,10,0
4806,Management Information Systems,Bachelor's,120,2012-2013,12,21
3471,Computer Science,Bachelor's,121,2004-2005,,
3472,Computer Science,Bachelor's,121,2005-2006,,
3473,Computer Science,Bachelor's,121,2006-2007,,
3474,Computer Science,Bachelor's,121,2007-2008,,
3475,Computer Science,Bachelor's,121,2008-2009,,
3476,Computer Science,Bachelor's,121,2009-2010,,
3477,Computer Science,Bachelor's,121,2010-2011,,
3478,Computer Science,Bachelor's,121,2011-2012,,
5008,Computer Science,Bachelor's,121,2012-2013,,
5009,Computer Science,Bachelor's,121,2013-2014,,
5010,Computer Science,Bachelor's,121,2014-2015,,
5011,Computer Science,Bachelor's,121,2015-2016,,
4575,Computer Science,Bachelor's,122,2014-2015,,
4824,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2011-2012,3,6
4822,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2013-2014,3,1
4821,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2014-2015,8,3
5264,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2015-2016,14,2
4823,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2012-2013,6,6
4825,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2010-2011,1,6
5265,"Electrical, Electronics and Communications Engineering",Bachelor's,123,2016-2017,,
3894,Computer Science,Bachelor's,124,2004-2005,,
3895,Computer Science,Bachelor's,124,2005-2006,,
3896,Computer Science,Bachelor's,124,2006-2007,,
3897,Computer Science,Bachelor's,124,2007-2008,,
3898,Computer Science,Bachelor's,124,2008-2009,,
3899,Computer Science,Bachelor's,124,2009-2010,,
3900,Computer Science,Bachelor's,124,2010-2011,,
3901,Computer Science,Bachelor's,124,2011-2012,,
2436,Computer Science,Bachelor's,127,2004-2005,,
2437,Computer Science,Bachelor's,127,2005-2006,,
2438,Computer Science,Bachelor's,127,2006-2007,,
2439,Computer Science,Bachelor's,127,2007-2008,,
2440,Computer Science,Bachelor's,127,2008-2009,,
2441,Computer Science,Bachelor's,127,2009-2010,,
2442,Computer Science,Bachelor's,127,2010-2011,,
2443,Computer Science,Bachelor's,127,2011-2012,,
2052,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,128,2013-2014,15,10
4386,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,128,2014-2015,24,4
2051,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,128,2012-2013,13,4
2049,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,128,2010-2011,9,7
2050,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,128,2011-2012,15,3
1498,Computer Science / Engineering,Bachelor's,128,2004-2005,9,0
1499,Computer Science / Engineering,Bachelor's,128,2005-2006,6,9
1500,Computer Science / Engineering,Bachelor's,128,2006-2007,7,4
1501,Computer Science / Engineering,Bachelor's,128,2007-2008,1,10
1502,Computer Science / Engineering,Bachelor's,128,2008-2009,5,2
1503,Computer Science / Engineering,Bachelor's,128,2009-2010,17,2
1549,Computer Information Systems,Bachelor's,13,2003-2004,8,
1550,Computer Information Systems,Bachelor's,13,2004-2005,11,
1551,Computer Information Systems,Bachelor's,13,2005-2006,8,
1552,Computer Information Systems,Bachelor's,13,2006-2007,7,
1553,Computer Information Systems,Bachelor's,13,2007-2008,8,
1554,Computer Information Systems,Bachelor's,13,2008-2009,11,10
1555,Computer Information Systems,Bachelor's,13,2009-2010,14,6
1556,Computer Information Systems,Bachelor's,13,2010-2011,11,8
1557,Computer Information Systems,Bachelor's,13,2011-2012,20,10
1558,Computer Information Systems,Bachelor's,13,2012-2013,8,10
1559,Computer Information Systems,Bachelor's,13,2013-2014,11,
1516,Computer Science,Bachelor's,13,2003-2004,14,
1517,Computer Science,Bachelor's,13,2004-2005,14,
1518,Computer Science,Bachelor's,13,2005-2006,15,
1519,Computer Science,Bachelor's,13,2006-2007,19,
1520,Computer Science,Bachelor's,13,2007-2008,17,
1521,Computer Science,Bachelor's,13,2008-2009,30,3
1522,Computer Science,Bachelor's,13,2009-2010,21,6
1523,Computer Science,Bachelor's,13,2010-2011,25,8
1524,Computer Science,Bachelor's,13,2011-2012,22,8
1525,Computer Science,Bachelor's,13,2012-2013,29,11
4398,Computer Science,Bachelor's,13,2013-2014,,29
4399,Computer Science,Bachelor's,13,2014-2015,,34
1505,Computer Engineering,Bachelor's,13,2003-2004,3,
1506,Computer Engineering,Bachelor's,13,2004-2005,0,
1507,Computer Engineering,Bachelor's,13,2005-2006,4,
1508,Computer Engineering,Bachelor's,13,2006-2007,5,
1509,Computer Engineering,Bachelor's,13,2007-2008,4,
1510,Computer Engineering,Bachelor's,13,2008-2009,11,0
1511,Computer Engineering,Bachelor's,13,2009-2010,9,0
1512,Computer Engineering,Bachelor's,13,2010-2011,9,1
1513,Computer Engineering,Bachelor's,13,2011-2012,7,4
1514,Computer Engineering,Bachelor's,13,2012-2013,6,1
1515,Computer Engineering,Bachelor's,13,2013-2014,7,
1527,Electrical Engineering,Bachelor's,13,2003-2004,4,
1528,Electrical Engineering,Bachelor's,13,2004-2005,6,
1529,Electrical Engineering,Bachelor's,13,2005-2006,2,
1530,Electrical Engineering,Bachelor's,13,2006-2007,3,
1531,Electrical Engineering,Bachelor's,13,2007-2008,4,
1532,Electrical Engineering,Bachelor's,13,2008-2009,7,1
1533,Electrical Engineering,Bachelor's,13,2009-2010,9,2
1534,Electrical Engineering,Bachelor's,13,2010-2011,7,3
1535,Electrical Engineering,Bachelor's,13,2011-2012,4,5
1536,Electrical Engineering,Bachelor's,13,2012-2013,3,2
1537,Electrical Engineering,Bachelor's,13,2013-2014,7,
1538,Mechanical Engineering,Bachelor's,13,2003-2004,9,
1539,Mechanical Engineering,Bachelor's,13,2004-2005,15,
1540,Mechanical Engineering,Bachelor's,13,2005-2006,18,
1541,Mechanical Engineering,Bachelor's,13,2006-2007,13,
1542,Mechanical Engineering,Bachelor's,13,2007-2008,8,
1543,Mechanical Engineering,Bachelor's,13,2008-2009,15,9
1544,Mechanical Engineering,Bachelor's,13,2009-2010,15,9
1545,Mechanical Engineering,Bachelor's,13,2010-2011,13,6
1546,Mechanical Engineering,Bachelor's,13,2011-2012,17,10
1547,Mechanical Engineering,Bachelor's,13,2012-2013,9,6
1548,Mechanical Engineering,Bachelor's,13,2013-2014,15,
1560,Systems Engineering,Bachelor's,13,2008-2009,3,0
1561,Systems Engineering,Bachelor's,13,2009-2010,4,0
1562,Systems Engineering,Bachelor's,13,2010-2011,4,1
1563,Systems Engineering,Bachelor's,13,2011-2012,2,3
1564,Systems Engineering,Bachelor's,13,2012-2013,8,5
1565,Systems Engineering,Bachelor's,13,2013-2014,4,
1625,Computer Science,Bachelor's,131,2004-2005,7,5
1626,Computer Science,Bachelor's,131,2005-2006,12,8
1627,Computer Science,Bachelor's,131,2006-2007,13,7
1628,Computer Science,Bachelor's,131,2007-2008,7,10
1629,Computer Science,Bachelor's,131,2008-2009,11,
1630,Computer Science,Bachelor's,131,2010-2011,11,9
1622,Computer Science (BA),Bachelor's,131,2006-2007,3,0
1623,Computer Science (BA),Bachelor's,131,2007-2008,6,1
1624,Computer Science (BA),Bachelor's,131,2008-2009,10,0
3423,Computer Science,Bachelor's,133,2004-2005,,
3424,Computer Science,Bachelor's,133,2005-2006,,
3425,Computer Science,Bachelor's,133,2006-2007,,
3426,Computer Science,Bachelor's,133,2007-2008,,
3427,Computer Science,Bachelor's,133,2008-2009,,
3428,Computer Science,Bachelor's,133,2009-2010,,
3429,Computer Science,Bachelor's,133,2010-2011,,
3430,Computer Science,Bachelor's,133,2011-2012,,
3415,Computer Engineering,Bachelor's,133,2004-2005,,
3416,Computer Engineering,Bachelor's,133,2005-2006,,
3417,Computer Engineering,Bachelor's,133,2006-2007,,
3418,Computer Engineering,Bachelor's,133,2007-2008,,
3419,Computer Engineering,Bachelor's,133,2008-2009,,
3420,Computer Engineering,Bachelor's,133,2009-2010,,
3421,Computer Engineering,Bachelor's,133,2010-2011,,
3422,Computer Engineering,Bachelor's,133,2011-2012,,
4642,Management Information Systems,Bachelor's,134,2015-2016,,
4543,Computer Science,Bachelor's,137,2014-2015,,
4545,Computer Science,Bachelor's,137,2015-2016,,
3643,Computer Science,Bachelor's,14,2010-2011,,
3644,Computer Science,Bachelor's,14,2011-2012,,
3645,Management Information Systems,Bachelor's,14,2010-2011,,
3646,Management Information Systems,Bachelor's,14,2011-2012,,
4713,Management Information Systems,Bachelor's,143,2015-2016,9,8
3627,Information Technology,Bachelor's,143,2004-2005,,
3628,Information Technology,Bachelor's,143,2005-2006,,
3629,Information Technology,Bachelor's,143,2006-2007,,
3630,Information Technology,Bachelor's,143,2007-2008,,
3631,Information Technology,Bachelor's,143,2008-2009,,
3632,Information Technology,Bachelor's,143,2009-2010,,
3633,Information Technology,Bachelor's,143,2010-2011,,
3634,Information Technology,Bachelor's,143,2011-2012,,
3619,Computer Science,Bachelor's,143,2004-2005,,
3620,Computer Science,Bachelor's,143,2005-2006,,
3621,Computer Science,Bachelor's,143,2006-2007,,
3622,Computer Science,Bachelor's,143,2007-2008,,
3623,Computer Science,Bachelor's,143,2008-2009,,
3624,Computer Science,Bachelor's,143,2009-2010,,
3625,Computer Science,Bachelor's,143,2010-2011,,
3626,Computer Science,Bachelor's,143,2011-2012,,
2604,Computer Information Systems,Bachelor's,144,2004-2005,,
2605,Computer Information Systems,Bachelor's,144,2005-2006,,
2606,Computer Information Systems,Bachelor's,144,2006-2007,,
2607,Computer Information Systems,Bachelor's,144,2007-2008,,
2608,Computer Information Systems,Bachelor's,144,2008-2009,,
2609,Computer Information Systems,Bachelor's,144,2009-2010,,
2592,Computer Science,Bachelor's,144,2004-2005,,
2593,Computer Science,Bachelor's,144,2005-2006,,
2594,Computer Science,Bachelor's,144,2006-2007,,
2595,Computer Science,Bachelor's,144,2007-2008,,
2596,Computer Science,Bachelor's,144,2008-2009,,
2597,Computer Science,Bachelor's,144,2009-2010,,
2598,Telecommunications Management,Bachelor's,144,2004-2005,,
2599,Telecommunications Management,Bachelor's,144,2005-2006,,
2600,Telecommunications Management,Bachelor's,144,2006-2007,,
2601,Telecommunications Management,Bachelor's,144,2007-2008,,
2602,Telecommunications Management,Bachelor's,144,2008-2009,,
2603,Telecommunications Management,Bachelor's,144,2009-2010,,
2586,Industrial Computer Systems,Bachelor's,144,2004-2005,,
2587,Industrial Computer Systems,Bachelor's,144,2005-2006,,
2588,Industrial Computer Systems,Bachelor's,144,2006-2007,,
2589,Industrial Computer Systems,Bachelor's,144,2007-2008,,
2590,Industrial Computer Systems,Bachelor's,144,2008-2009,,
2591,Industrial Computer Systems,Bachelor's,144,2009-2010,,
2610,Management Information Systems,Bachelor's,144,2004-2005,,
2611,Management Information Systems,Bachelor's,144,2005-2006,,
2612,Management Information Systems,Bachelor's,144,2006-2007,,
2613,Management Information Systems,Bachelor's,144,2007-2008,,
2614,Management Information Systems,Bachelor's,144,2008-2009,,
2615,Management Information Systems,Bachelor's,144,2009-2010,,
2616,Management Information Systems,Bachelor's,144,2004-2005,,
2617,Management Information Systems,Bachelor's,144,2005-2006,,
2618,Management Information Systems,Bachelor's,144,2006-2007,,
2619,Management Information Systems,Bachelor's,144,2007-2008,,
2620,Management Information Systems,Bachelor's,144,2008-2009,,
2621,Management Information Systems,Bachelor's,144,2009-2010,,
4415,Computer Science (BS),Bachelor's,146,2010-2011,3,0
4416,Computer Science (BS),Bachelor's,146,2011-2012,2,1
4417,Computer Science (BS),Bachelor's,146,2012-2013,5,2
4418,Computer Science (BS),Bachelor's,146,2013-2014,8,2
4419,Computer Science (BS),Bachelor's,146,2014-2015,10,2
4899,Computer Science (BS),Bachelor's,146,2015-2016,8,3
4410,Computer Science (BA),Bachelor's,146,2010-2011,2,1
4411,Computer Science (BA),Bachelor's,146,2011-2012,1,1
4412,Computer Science (BA),Bachelor's,146,2012-2013,3,1
4413,Computer Science (BA),Bachelor's,146,2013-2014,0,0
4414,Computer Science (BA),Bachelor's,146,2014-2015,1,1
4900,Computer Science (BA),Bachelor's,146,2015-2016,8,0
4811,Electrical Engineering,Bachelor's,146,2012-2013,0,0
4812,Electrical Engineering,Bachelor's,146,2013-2014,0,0
4813,Electrical Engineering,Bachelor's,146,2014-2015,1,0
4901,Electrical Engineering,Bachelor's,146,2015-2016,,0
3604,Management Information Systems,Bachelor's,146,2005-2006,,
3605,Management Information Systems,Bachelor's,146,2006-2007,,
3606,Management Information Systems,Bachelor's,146,2007-2008,,
3607,Management Information Systems,Bachelor's,146,2008-2009,,
3608,Management Information Systems,Bachelor's,146,2009-2010,,
3609,Management Information Systems,Bachelor's,146,2010-2011,,
3610,Management Information Systems,Bachelor's,146,2011-2012,,
4437,Computer Science,Bachelor's,148,2015-2016,,
4438,Computer Science,Bachelor's,148,2015-2016,,
4536,Computer Science,Bachelor's,150,2015-2016,,
2636,Computer Information Systems,Bachelor's,154,2004-2005,,
2637,Computer Information Systems,Bachelor's,154,2005-2006,,
2638,Computer Information Systems,Bachelor's,154,2006-2007,,
2639,Computer Information Systems,Bachelor's,154,2007-2008,,
2640,Computer Information Systems,Bachelor's,154,2008-2009,,
2641,Computer Information Systems,Bachelor's,154,2009-2010,,
2642,Computer Information Systems,Bachelor's,154,2010-2011,,
2643,Computer Information Systems,Bachelor's,154,2011-2012,,
2544,Computer Science,Bachelor's,155,2004-2005,,
2545,Computer Science,Bachelor's,155,2005-2006,,
2546,Computer Science,Bachelor's,155,2006-2007,,
2547,Computer Science,Bachelor's,155,2007-2008,,
2548,Computer Science,Bachelor's,155,2008-2009,,
2549,Computer Science,Bachelor's,155,2009-2010,,
4938,Computer Science,Bachelor's,155,2010-2011,,3
4939,Computer Science,Bachelor's,155,2011-2012,,8
4940,Computer Science,Bachelor's,155,2012-2013,,18
4941,Computer Science,Bachelor's,155,2013-2014,,21
4942,Computer Science,Bachelor's,155,2014-2015,,39
4917,Computer Science + X,Bachelor's,157,2014-2015,10,16
4906,Computer Science,Bachelor's,157,2013-2014,45,48
4907,Computer Science,Bachelor's,157,2014-2015,71,65
4905,Computer Science,Bachelor's,157,2012-2013,17,31
4908,Computer Science,Bachelor's,157,2015-2016,50,31
4920,Computer Science + X,Bachelor's,157,2014-2015,1,0
4924,Computer Science + X,Bachelor's,157,2015-2016,2,0
4910,Computer Science + X,Bachelor's,157,2012-2013,3,3
4927,Computer Science + X,Bachelor's,157,2015-2016,1,1
